City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Saint Simons,US,2021-04-11 17:45:09,31.1352,-81.3901,66.2,88,90,14.97
264,Pine Bluff,US,2021-04-11 17:45:09,34.2284,-92.0032,71.6,28,1,10.36
265,Gravdal,NO,2021-04-11 17:45:09,68.1214,13.5031,33.8,93,75,9.22
266,Vredendal,ZA,2021-04-11 17:45:10,-31.6683,18.5012,72.09,46,38,7.78
267,Pitanga,BR,2021-04-11 17:44:45,-24.7572,-51.7614,80.06,42,58,6.13
268,Grand Gaube,MU,2021-04-11 17:45:10,-20.0064,57.6608,78.01,80,86,5.99
269,Saint Anthony,US,2021-04-11 17:41:40,45.0205,-93.218,50.0,71,90,12.66
270,Asau,RO,2021-04-11 17:45:10,46.4333,26.4,46.0,37,1,1.66
271,Thompson,CA,2021-04-11 17:45:11,55.7435,-97.8558,21.2,79,90,14.97
272,Victoria,HK,2021-04-11 17:43:57,22.2855,114.1577,73.99,84,37,9.13
273,Shache,CN,2021-04-11 17:45:11,38.4167,77.2406,58.8,23,11,6.33
274,Pisco,PE,2021-04-11 17:45:11,-13.7,-76.2167,75.2,60,0,9.22
275,Quelimane,MZ,2021-04-11 17:45:11,-17.8786,36.8883,78.8,83,75,3.44
276,Boone,US,2021-04-11 17:45:12,39.0334,-92.3335,61.0,39,0,18.01
277,Mount Gambier,AU,2021-04-11 17:45:12,-37.8333,140.7667,51.8,87,90,6.91
278,Raudeberg,NO,2021-04-11 17:45:12,61.9875,5.1352,39.0,79,10,17.05
279,Chokurdakh,RU,2021-04-11 17:41:20,70.6333,147.9167,-19.32,99,52,8.12
280,Sturgis,US,2021-04-11 17:45:13,41.7992,-85.4192,53.6,76,90,9.22
281,Hamilton,US,2021-04-11 17:43:10,39.1834,-84.5333,54.0,82,90,16.11
282,Isangel,VU,2021-04-11 17:45:13,-19.55,169.2667,78.46,87,99,8.84
283,Laguna,US,2021-04-11 17:45:13,38.421,-121.4238,66.99,42,1,9.22
284,Itaituba,BR,2021-04-11 17:45:13,-4.2761,-55.9836,86.0,70,75,10.36
285,Luderitz,NA,2021-04-11 17:43:12,-26.6481,15.1594,75.33,48,0,5.91
286,Vryburg,ZA,2021-04-11 17:45:14,-26.9566,24.7284,74.66,29,0,6.85
287,Avera,US,2021-04-11 17:45:14,33.194,-82.5271,75.2,83,40,12.66
288,Tuatapere,NZ,2021-04-11 17:45:14,-46.1333,167.6833,46.99,97,30,3.0
289,Mecca,SA,2021-04-11 17:45:14,21.4267,39.8261,75.67,38,1,8.34
290,Deputatskiy,RU,2021-04-11 17:45:15,69.3,139.9,-23.21,99,82,2.95
291,Acapulco,MX,2021-04-11 17:40:49,16.8634,-99.8901,84.2,65,1,8.05
292,Miquelon,PM,2021-04-11 17:45:15,47.0975,-56.3814,41.0,75,75,5.75
